id,title,asking_price,cash_flow,revenue,city,state,vertical,url,broker_name,broker_domain,description,status,first_seen,last_seen,needs_review
39d05a7261669389,Address:,,,,Bowling Green,KY,other,tel:270-991-7934,david hopper,kentuckybusinessbroker.com,"Address: Bowling Green, KY 42103 Phone: (270) 991-7934 Email: david.hopperkbb@outlook.com Our Disclaimer »",active,2026-09-01T17:38:26.070855+00:00,2026-09-01T17:38:26.070855+00:00,True
aac2ea7bb5d2248a,Home - Kentucky Business Broker,,,,Bowling Green,KY,other,https://kentuckybusinessbroker.com/,david hopper,kentuckybusinessbroker.com,"Address: Bowling Green, KY 42103 Phone: (270) 991-7934 Email: david.hopperkbb@outlook.com Our Disclaimer » Home Businesses for Sale Services » Checklist for Selling » Cashflow » For Buyers » Buy A Franchise About Us » About Us » Our Team Blog Contact Us Menu Home Home Kentucky's premier business broker! Your search stops here, but your journey is just beginning. Let us help you and your family with your exit strategy. Checklist for selling Kentucky Business Broker We are Kentucky’s premier site for buyers and sellers of businesses. Where else can you find a company committed exclusively to listing a business for sale? If you are a business owner or are interested in purchasing an existing business, we encourage you to search our website and database. Don’t stress over the future of your business. Contact us today for help. The internet reaches millions of people and allows you to find the right person to purchase your business. Most people in your hometown won’t purchase your business because they “know more than you do”. We are part of a nationwide network that locates buyers and sellers of businesses and puts them together. So whether you are retiring, or ready for a change, contact us today ! We are Kentucky’s premier site for buyers and sellers of businesses. Let us find the right fit for you. View Businesses for Sale Kentucky business broker has a strong stable of business brokers whose experience comes from personally managing and running businesses. Our brokers are located across Kentucky. We also have representation in Tennessee. Our philosophy is to take on worthwhile projects so that we don’t have to charge any upfront listing fees. When hiring KBB to sell your business, we don’t get paid until you do. This creates a partnership between our brokers and the business owner. It makes KBB part of your current team. To find out if you and your business would qualify to team up with KBB, contact one of our brokers today ! Copyright © 2026 Kentucky Business Broke",active,2026-09-01T17:38:26.073004+00:00,2026-09-01T17:38:26.073004+00:00,True
19b903f4aca02c51,Stop being the last step ineveryprocess.,,,,,KY,automotive,https://www.deal-studio.com,david hopper,kentuckybusinessbroker.com,"SUPPORTING THE FULL LIFECYCLE OF THE DEAL The quality of what happens upstream determines the quality of what is possible downstream. A deal does not start when a seller calls. It starts with whether the seller called you or someone else. And why. How that moment is set up determines the quality of everything that follows: the listing conversation, the buyer process, the close, and the next referral. BEFORE THE DEAL Getting sellers to call you before they call anyone else The quality of the listing conversation is determined before it starts. A broker with the right system does not compete for attention. They create the conditions under which the right sellers find them first, already convinced. By the time a seller reaches out, the competition has already been removed from the equation. Lead Capture Seller Nurture Sequences Education Funnels Lead Source Tracking THE LISTING CONVERSATION Walking in with the work already done When the upstream work is done correctly, the listing conversation is not an interview. The broker is assessing fit. The seller is confirming that what they encountered before the conversation is true in the room. The process, the valuation education, the onboarding approach... all of it has already made the case. Seller Onboarding Valuation Education Virtual Data Room Marketing Material INSIDE THE DEAL A system that moves deals forward without pulling the broker into every step The broker's attention goes where it actually changes the outcome. That is only possible when the system has handled everything that does not require the broker's judgment. A buyer who has reviewed the CIM, watched the seller interview, signed the NDA, and submitted questions before the first call is an entirely different buyer. The broker's first conversation with that buyer is the introduction to the seller. Transaction Management Automated Buyer Workflows NDA Management Deal Stage Tracking CIM Production Seller Interview Process AFTER THE CLOSE The relationship that d",active,2026-09-01T17:38:26.074383+00:00,2026-09-01T17:38:26.074383+00:00,True
c8d75af122950bd5,"1223 COLUMBIA ST ORLANDO, 32805",1300000.0,,,Orlando,FL,other,https://millenia-partners.com/listings?propertyId=1630035-sale,luke sawyer,buildout.com,"We’d love to know more about your property needs. If it’s out there, we’ll find it or help you build it.",active,2026-09-01T17:43:04.650049+00:00,2026-09-01T17:43:04.650049+00:00,
85627ce7e898d1e8,Oviedo Executive Center,550000.0,,,Oviedo,FL,other,https://millenia-partners.com/listings?propertyId=830769-sale,luke sawyer,buildout.com,"We’d love to know more about your property needs. If it’s out there, we’ll find it or help you build it.",active,2026-09-01T17:43:04.650666+00:00,2026-09-01T17:43:04.650666+00:00,
416079f06a1074b7,Bay Street Business Center,2500000.0,,,Eustis,FL,other,https://millenia-partners.com/listings?propertyId=1679117-sale,luke sawyer,buildout.com,"We’d love to know more about your property needs. If it’s out there, we’ll find it or help you build it.",active,2026-09-01T17:43:04.651302+00:00,2026-09-01T17:43:04.651302+00:00,
1696ce2b1543144f,Find yournext property,,,,Eustis,FL,other,https://millenia-partners.com/listings?propertyId=1675577-sale,luke sawyer,buildout.com,"We’d love to know more about your property needs. If it’s out there, we’ll find it or help you build it.",active,2026-09-01T17:43:04.651901+00:00,2026-09-01T17:43:04.651901+00:00,
f3017470a532584e,Developer Closeout - Last Pad Ready Lot,625000.0,,,Orlando,FL,other,https://millenia-partners.com/listings?propertyId=1349336-sale,luke sawyer,buildout.com,"We’d love to know more about your property needs. If it’s out there, we’ll find it or help you build it.",active,2026-09-01T17:43:04.652596+00:00,2026-09-01T17:43:04.652596+00:00,
98498043d1e52ffe,Windermere Business Center,,,,Orlando,FL,other,https://millenia-partners.com/listings?propertyId=1577045-sale,luke sawyer,buildout.com,"We’d love to know more about your property needs. If it’s out there, we’ll find it or help you build it.",active,2026-09-01T17:43:04.653274+00:00,2026-09-01T17:43:04.653274+00:00,
c2fc34e5cfb5af46,125 West Pineview Street,,,,Altamonte Springs,FL,other,https://millenia-partners.com/listings?propertyId=1578326-sale,luke sawyer,buildout.com,"We’d love to know more about your property needs. If it’s out there, we’ll find it or help you build it.",active,2026-09-01T17:43:04.653862+00:00,2026-09-01T17:43:04.653862+00:00,
62180f7bf7eccb95,Find yournext property,,,,St Kissimmee,FL,other,https://millenia-partners.com/listings?propertyId=1544518-sale,luke sawyer,buildout.com,"We’d love to know more about your property needs. If it’s out there, we’ll find it or help you build it.",active,2026-09-01T17:43:04.654434+00:00,2026-09-01T17:43:04.654434+00:00,
6554244f7061ad24,Find yournext property,,,,Ocoee,FL,other,https://millenia-partners.com/listings?propertyId=1616828-sale,luke sawyer,buildout.com,"We’d love to know more about your property needs. If it’s out there, we’ll find it or help you build it.",active,2026-09-01T17:43:04.655010+00:00,2026-09-01T17:43:04.655010+00:00,
9f6acbe54c3eab50,Find yournext property,,,,Orlando,FL,other,https://millenia-partners.com/listings?propertyId=1614896-sale,luke sawyer,buildout.com,"We’d love to know more about your property needs. If it’s out there, we’ll find it or help you build it.",active,2026-09-01T17:43:04.655569+00:00,2026-09-01T17:43:04.655569+00:00,
ae2d2ed0ea3a604f,Find yournext property,,,,Rd Kissimmee,FL,other,https://millenia-partners.com/listings?propertyId=899701-sale,luke sawyer,buildout.com,"We’d love to know more about your property needs. If it’s out there, we’ll find it or help you build it.",active,2026-09-01T17:43:04.656140+00:00,2026-09-01T17:43:04.656140+00:00,
ab52209500c444e9,4589 Henry C. Yates Lane,1525000.0,,,Cloud,FL,other,https://millenia-partners.com/listings?propertyId=1611059-sale,luke sawyer,buildout.com,"We’d love to know more about your property needs. If it’s out there, we’ll find it or help you build it.",active,2026-09-01T17:43:04.656795+00:00,2026-09-01T17:43:04.656795+00:00,
4771ac96f7eba04a,"2320 North Blvd W # I 3, I 4",,,,Davenport,FL,other,https://millenia-partners.com/listings?propertyId=1617845-sale,luke sawyer,buildout.com,"We’d love to know more about your property needs. If it’s out there, we’ll find it or help you build it.",active,2026-09-01T17:43:04.657369+00:00,2026-09-01T17:43:04.657369+00:00,
87df9b7348304afa,Building 5 - Sunrise Medical Office Park,,,,Clermont,FL,healthcare,https://millenia-partners.com/listings?propertyId=1332993-sale,luke sawyer,buildout.com,"We’d love to know more about your property needs. If it’s out there, we’ll find it or help you build it.",active,2026-09-01T17:43:04.658028+00:00,2026-09-01T17:43:04.658028+00:00,
a2297e25383cfada,Find yournext property,,,,Winter Garden,FL,other,https://millenia-partners.com/listings?propertyId=1052500-sale,luke sawyer,buildout.com,"We’d love to know more about your property needs. If it’s out there, we’ll find it or help you build it.",active,2026-09-01T17:43:04.658598+00:00,2026-09-01T17:43:04.658598+00:00,
d2ab47273a563bb1,Find yournext property,,,,Orlando,FL,other,https://millenia-partners.com/listings?propertyId=1599925-sale,luke sawyer,buildout.com,"We’d love to know more about your property needs. If it’s out there, we’ll find it or help you build it.",active,2026-09-01T17:43:04.659190+00:00,2026-09-01T17:43:04.659190+00:00,
ce5f94fb1817e151,1750 Longleaf Boulevard,,,,Lake Wales,FL,other,https://millenia-partners.com/listings?propertyId=1582649-sale,luke sawyer,buildout.com,"We’d love to know more about your property needs. If it’s out there, we’ll find it or help you build it.",active,2026-09-01T17:43:04.659761+00:00,2026-09-01T17:43:04.659761+00:00,
23cc059c9bc7d2da,Montgomery Executive Center,,,,Altamonte Springs,FL,other,https://millenia-partners.com/listings?propertyId=1136743-sale,luke sawyer,buildout.com,"We’d love to know more about your property needs. If it’s out there, we’ll find it or help you build it.",active,2026-09-01T17:43:04.660386+00:00,2026-09-01T17:43:04.660386+00:00,
788871d158a67213,Find yournext property,,,,Winter Springs,FL,other,https://millenia-partners.com/listings?propertyId=1622778-sale,luke sawyer,buildout.com,"We’d love to know more about your property needs. If it’s out there, we’ll find it or help you build it.",active,2026-09-01T17:43:04.660959+00:00,2026-09-01T17:43:04.660959+00:00,
71dbf4b3aa38115e,Find yournext property,925000.0,,,Orlando,FL,other,https://millenia-partners.com/listings?propertyId=434685-sale,luke sawyer,buildout.com,"We’d love to know more about your property needs. If it’s out there, we’ll find it or help you build it.",active,2026-09-01T17:43:04.661546+00:00,2026-09-01T17:43:04.661546+00:00,
d415608b0f192bd3,Liberty Management Building,819000.0,,,Orlando,FL,other,https://millenia-partners.com/listings?propertyId=1605952-sale,luke sawyer,buildout.com,"We’d love to know more about your property needs. If it’s out there, we’ll find it or help you build it.",active,2026-09-01T17:43:04.662113+00:00,2026-09-01T17:43:04.662113+00:00,
80c3427cf8005ea1,Find yournext property,1500000.0,,,Avenue Jacksonville,FL,other,https://millenia-partners.com/listings?propertyId=1627123-sale,luke sawyer,buildout.com,"We’d love to know more about your property needs. If it’s out there, we’ll find it or help you build it.",active,2026-09-01T17:43:04.662759+00:00,2026-09-01T17:43:04.662759+00:00,
4c6b5aee39539e8e,Find yournext property,600000.0,,,St Marietta,GA,other,https://millenia-partners.com/listings?propertyId=1136055-sale,luke sawyer,buildout.com,"We’d love to know more about your property needs. If it’s out there, we’ll find it or help you build it.",active,2026-09-01T17:43:04.663340+00:00,2026-09-01T17:43:04.663340+00:00,
8282a42d588f4749,Second Generation Medical Office Condo,2100000.0,,,Bogart,GA,healthcare,https://millenia-partners.com/listings?propertyId=1562134-sale,luke sawyer,buildout.com,"We’d love to know more about your property needs. If it’s out there, we’ll find it or help you build it.",active,2026-09-01T17:43:04.663898+00:00,2026-09-01T17:43:04.663898+00:00,
97561250f4b842cf,Find yournext property,,,,Orlando,FL,other,https://millenia-partners.com/listings?propertyId=1591138-sale,luke sawyer,buildout.com,"We’d love to know more about your property needs. If it’s out there, we’ll find it or help you build it.",active,2026-09-01T17:43:04.664531+00:00,2026-09-01T17:43:04.664531+00:00,
