hash,title,asking_price,revenue,cash_flow,city,state,vertical,source_url,broker,broker_url,first_seen,last_seen,raw_text
2a494037b0093099,About,,,,,,automotive,https://fcbb.com/about-us,FCBB,https://fcbb.com/,2026-02-23T14:11:31.168769+00:00,2026-02-23T14:11:31.168769+00:00,"About Businesses For Sale The Buying Process Search Available Businesses Immigration Through Business Ownership Custom Business Search Buyer FAQ's Selling Your Business Sell Your Business Value My Business Sell Your Business - Why Now? Preparing To Sell Your Business Positioning Your Business for Sale 10 Steps to Selling Your Business Services Services Overview Sell Your Business Buy a Business Business Valuation Buyer Representation Transactional Guidance Merger Acquisition Services Own a Franchise Resources Latest News Immigration Resources Financing Options Retirement Funds For Business Key Employee Retention Testimonials Get in touch (800) 940-9109 851 South Rampart Boulevard Suite 200, Las Vegas NV - 89145 Own a Franchise | Careers | Free Consultation"
2931e3a4b09ce303,Find A Location,,,,,,other,https://fcbb.com/business-broker-list-of-locations,FCBB,https://fcbb.com/,2026-02-23T14:11:31.168837+00:00,2026-02-23T14:11:31.168837+00:00,Find A Location (800) 940-9109 Careers Free Consultation English en Español es
71b2b769bf76c0bb,(800) 940-9109,,,,,,other,tel:(800) 940-9109,FCBB,https://fcbb.com/,2026-02-23T14:11:31.168882+00:00,2026-02-23T14:11:31.168882+00:00,(800) 940-9109 Careers Free Consultation
712d9b02abf6e388,,,,,,,automotive,https://fcbb.com/,FCBB,https://fcbb.com/,2026-02-23T14:11:31.169002+00:00,2026-02-23T14:11:31.169002+00:00,About Businesses For Sale The Buying Process Search Available Businesses Immigration Through Business Ownership Custom Business Search Buyer FAQ's Selling Your Business Sell Your Business Value My Business Sell Your Business - Why Now? Preparing To Sell Your Business Positioning Your Business for Sale 10 Steps to Selling Your Business Services Services Overview Sell Your Business Buy a Business Business Valuation Buyer Representation Transactional Guidance Merger Acquisition Services Own a Franchise Resources Latest News Immigration Resources Financing Options Retirement Funds For Business Key Employee Retention Testimonials
27c4a80406210e63,First Choice Business Brokers,,,,,,other,https://fcbb.com/business-broker-office-locations,FCBB,https://fcbb.com/,2026-02-23T14:11:31.169057+00:00,2026-02-23T14:11:31.169057+00:00,First Choice Business Brokers The World's Authority in Business Sales Expert Buyer and Seller Services for Sales of Main Street and Middle Market Businesses Find a Broker
e0bd1cbf548f2d68,The World's Authority in Business Sales,,,,,,other,https://fcbb.com/business-broker-office-locations,FCBB,https://fcbb.com/,2026-02-23T14:11:31.169157+00:00,2026-02-23T14:11:31.169157+00:00,First Choice Business Brokers The World's Authority in Business Sales Expert Buyer and Seller Services for Sales of Main Street and Middle Market Businesses Find a Location
3fe9779d2cf5cc6a,Selling a Business?,,,,,,other,https://fcbb.com/selling-a-business,FCBB,https://fcbb.com/,2026-02-23T14:11:31.169221+00:00,2026-02-23T14:11:31.169221+00:00,Selling a Business? Get the most value for your business with First Choice Business Brokers. Start here Buying a Business? First Choice Business Brokers will help you find the perfect business. Start here Find a Broker Near You Find the closest First Choice Business Broker office near you. Start here
2ea53a264b9c98bb,Business For Sale Quick Search,,,,,,other,https://fcbb.com/,FCBB,https://fcbb.com/,2026-02-23T14:11:31.169312+00:00,2026-02-23T14:11:31.169312+00:00,Business For Sale Quick Search From business brokerage to mergers and acquisitions; we are the business sales experts! Select State Select Category Search Listings The World's Authority in Business Sales National Network Connecting buyers and sellers nationally Listed and Managed over $15 Billion in Businesses for Sale 100s of businesses added to our listing inventory annually Industry Leaders Decades of experience in successful business sales
00a5a649b193c5b8,The World's Authority in Business Sales,,,,,,other,https://fcbb.com/,FCBB,https://fcbb.com/,2026-02-23T14:11:31.169371+00:00,2026-02-23T14:11:31.169371+00:00,The World's Authority in Business Sales National Network Connecting buyers and sellers nationally Listed and Managed over $15 Billion in Businesses for Sale 100s of businesses added to our listing inventory annually Industry Leaders Decades of experience in successful business sales
79f45d723e45b41b,Featured Businesses For Sale,,,,,,other,https://fcbb.com/,FCBB,https://fcbb.com/,2026-02-23T14:11:31.169414+00:00,2026-02-23T14:11:31.169414+00:00,Featured Businesses For Sale Ready To Invest In Your Future?
2411c2f1553ce804,From business brokerage to mergers and acquisitions; we are the experts!,,,,,,other,https://fcbb.com/,FCBB,https://fcbb.com/,2026-02-23T14:11:31.169441+00:00,2026-02-23T14:11:31.169441+00:00,From business brokerage to mergers and acquisitions; we are the experts!
8e1843f5a6ca199c,,,,,,,other,https://fcbb.com/sell-your-business,FCBB,https://fcbb.com/,2026-02-23T14:11:31.169526+00:00,2026-02-23T14:11:31.169526+00:00,"Business Sales Confidential Listing Services for Business Owners who wish to sell. > List Your Business Business Valuation Expert Valuation Services are offered at all First Choice Offices. ﻿ > FREE Business Evaluation Buyer Representation Our Nationwide Network of Professional Business Brokers guide buyers through the business purchasing process. > Find A Broker Near You Business Search Finding the right business for your interests, income requirements and location. > Find Businesses For Sale"
